seller_id,seller_name,rating
1,seller_1,2
2,seller_2,5
3,seller_3,1
4,seller_4,5
5,seller_5,2
6,seller_6,1
7,seller_7,4
8,seller_8,1
9,seller_9,5
10,seller_10,2
11,seller_11,2
12,seller_12,3
13,seller_13,3
14,seller_14,1
15,seller_15,1
16,seller_16,2
17,seller_17,1
18,seller_18,3
19,seller_19,4
20,seller_20,1
21,seller_21,5
22,seller_22,4
23,seller_23,5
24,seller_24,2
25,seller_25,5
26,seller_26,1
27,seller_27,1
28,seller_28,2
29,seller_29,4
30,seller_30,4
31,seller_31,1
32,seller_32,2
33,seller_33,4
34,seller_34,4
35,seller_35,4
36,seller_36,1
37,seller_37,3
38,seller_38,1
39,seller_39,2
40,seller_40,5
41,seller_41,2
42,seller_42,1
43,seller_43,5
44,seller_44,2
45,seller_45,4
46,seller_46,5
47,seller_47,5
48,seller_48,4
49,seller_49,2
50,seller_50,3
51,seller_51,2
52,seller_52,4
53,seller_53,3
54,seller_54,2
55,seller_55,1
56,seller_56,1
57,seller_57,5
58,seller_58,1
59,seller_59,4
60,seller_60,4
61,seller_61,1
62,seller_62,3
63,seller_63,4
64,seller_64,5
65,seller_65,3
66,seller_66,5
67,seller_67,3
68,seller_68,5
69,seller_69,1
70,seller_70,3
71,seller_71,4
72,seller_72,3
73,seller_73,5
74,seller_74,5
75,seller_75,3
76,seller_76,5
77,seller_77,5
78,seller_78,3
79,seller_79,3
80,seller_80,4
81,seller_81,1
82,seller_82,2
83,seller_83,5
84,seller_84,2
85,seller_85,4
86,seller_86,2
87,seller_87,4
88,seller_88,5
89,seller_89,2
90,seller_90,4
91,seller_91,2
92,seller_92,3
93,seller_93,3
94,seller_94,2
95,seller_95,2
96,seller_96,1
97,seller_97,2
98,seller_98,1
99,seller_99,1
100,seller_100,3
101,seller_101,3
102,seller_102,4
103,seller_103,3
104,seller_104,2
105,seller_105,2
106,seller_106,4
107,seller_107,5
108,seller_108,4
109,seller_109,1
110,seller_110,3
111,seller_111,4
112,seller_112,3
113,seller_113,1
114,seller_114,5
115,seller_115,5
116,seller_116,5
117,seller_117,3
118,seller_118,1
119,seller_119,2
120,seller_120,4
121,seller_121,1
122,seller_122,4
123,seller_123,2
124,seller_124,4
125,seller_125,1
126,seller_126,3
127,seller_127,1
128,seller_128,3
129,seller_129,1
130,seller_130,5
131,seller_131,2
132,seller_132,1
133,seller_133,5
134,seller_134,3
135,seller_135,3
136,seller_136,1
137,seller_137,4
138,seller_138,3
139,seller_139,5
140,seller_140,5
141,seller_141,5
142,seller_142,4
143,seller_143,1
144,seller_144,5
145,seller_145,5
146,seller_146,4
147,seller_147,2
148,seller_148,5
149,seller_149,5
150,seller_150,4
151,seller_151,2
152,seller_152,3
153,seller_153,5
154,seller_154,1
155,seller_155,3
156,seller_156,1
157,seller_157,5
158,seller_158,1
159,seller_159,1
160,seller_160,5
161,seller_161,2
162,seller_162,2
163,seller_163,3
164,seller_164,3
165,seller_165,1
166,seller_166,4
167,seller_167,4
168,seller_168,4
169,seller_169,2
170,seller_170,2
171,seller_171,2
172,seller_172,4
173,seller_173,1
174,seller_174,4
175,seller_175,2
176,seller_176,1
177,seller_177,1
178,seller_178,5
179,seller_179,2
180,seller_180,1
181,seller_181,5
182,seller_182,2
183,seller_183,3
184,seller_184,3
185,seller_185,4
186,seller_186,2
187,seller_187,3
188,seller_188,4
189,seller_189,1
190,seller_190,3
191,seller_191,4
192,seller_192,4
193,seller_193,1
194,seller_194,3
195,seller_195,5
196,seller_196,4
197,seller_197,1
198,seller_198,3
199,seller_199,1
200,seller_200,2
201,seller_201,2
202,seller_202,5
203,seller_203,3
204,seller_204,3
205,seller_205,3
206,seller_206,1
207,seller_207,2
208,seller_208,1
209,seller_209,2
210,seller_210,4
211,seller_211,1
212,seller_212,1
213,seller_213,2
214,seller_214,5
215,seller_215,3
216,seller_216,5
217,seller_217,3
218,seller_218,2
219,seller_219,1
220,seller_220,4
221,seller_221,1
222,seller_222,2
223,seller_223,3
224,seller_224,4
225,seller_225,2
226,seller_226,4
227,seller_227,2
228,seller_228,5
229,seller_229,3
230,seller_230,5
231,seller_231,3
232,seller_232,1
233,seller_233,2
234,seller_234,2
235,seller_235,4
236,seller_236,4
237,seller_237,3
238,seller_238,4
239,seller_239,5
240,seller_240,1
241,seller_241,1
242,seller_242,5
243,seller_243,4
244,seller_244,1
245,seller_245,4
246,seller_246,5
247,seller_247,2
248,seller_248,5
249,seller_249,3
250,seller_250,1
251,seller_251,3
252,seller_252,3
253,seller_253,3
254,seller_254,4
255,seller_255,5
256,seller_256,2
257,seller_257,3
258,seller_258,1
259,seller_259,1
260,seller_260,4
261,seller_261,4
262,seller_262,4
263,seller_263,2
264,seller_264,2
265,seller_265,3
266,seller_266,4
267,seller_267,3
268,seller_268,1
269,seller_269,4
270,seller_270,4
271,seller_271,3
272,seller_272,1
273,seller_273,5
274,seller_274,5
275,seller_275,1
276,seller_276,1
277,seller_277,1
278,seller_278,5
279,seller_279,2
280,seller_280,2
281,seller_281,1
282,seller_282,2
283,seller_283,1
284,seller_284,4
285,seller_285,2
286,seller_286,4
287,seller_287,5
288,seller_288,2
289,seller_289,3
290,seller_290,1
291,seller_291,5
292,seller_292,5
293,seller_293,1
294,seller_294,2
295,seller_295,5
296,seller_296,3
297,seller_297,5
298,seller_298,5
299,seller_299,4
300,seller_300,3
301,seller_301,5
302,seller_302,2
303,seller_303,2
304,seller_304,3
305,seller_305,2
306,seller_306,1
307,seller_307,4
308,seller_308,2
