product_id,product_name,price
1,product_1,24
2,product_2,173
3,product_3,147
4,product_4,116
5,product_5,13
6,product_6,146
7,product_7,121
8,product_8,21
9,product_9,70
10,product_10,28
11,product_11,113
12,product_12,105
13,product_13,133
14,product_14,75
15,product_15,113
16,product_16,98
17,product_17,17
18,product_18,177
19,product_19,29
20,product_20,163
21,product_21,17
22,product_22,189
23,product_23,19
24,product_24,72
25,product_25,161
26,product_26,113
27,product_27,29
28,product_28,44
29,product_29,197
30,product_30,183
31,product_31,45
32,product_32,155
33,product_33,141
34,product_34,75
35,product_35,170
36,product_36,16
37,product_37,102
38,product_38,15
39,product_39,48
40,product_40,77
41,product_41,11
42,product_42,146
43,product_43,80
44,product_44,78
45,product_45,60
46,product_46,62
47,product_47,121
48,product_48,189
49,product_49,61
50,product_50,174
51,product_51,115
52,product_52,88
53,product_53,200
54,product_54,171
55,product_55,60
56,product_56,29
57,product_57,198
58,product_58,183
59,product_59,126
60,product_60,54
61,product_61,82
62,product_62,171
63,product_63,35
64,product_64,195
65,product_65,63
66,product_66,115
67,product_67,109
68,product_68,33
69,product_69,41
70,product_70,65
71,product_71,51
72,product_72,185
73,product_73,66
74,product_74,117
75,product_75,126
76,product_76,49
77,product_77,161
78,product_78,109
79,product_79,101
80,product_80,55
81,product_81,45
82,product_82,186
83,product_83,153
84,product_84,190
85,product_85,115
86,product_86,158
87,product_87,28
88,product_88,199
89,product_89,151
90,product_90,150
91,product_91,198
92,product_92,37
93,product_93,144
94,product_94,153
95,product_95,106
96,product_96,60
97,product_97,30
98,product_98,183
99,product_99,29
100,product_100,128
101,product_101,81
102,product_102,163
103,product_103,96
104,product_104,123
105,product_105,24
106,product_106,200
107,product_107,147
108,product_108,78
109,product_109,105
110,product_110,196
111,product_111,176
112,product_112,10
113,product_113,148
114,product_114,112
115,product_115,196
116,product_116,48
117,product_117,200
118,product_118,196
119,product_119,74
120,product_120,107
121,product_121,11
122,product_122,136
123,product_123,63
124,product_124,94
125,product_125,42
126,product_126,10
127,product_127,97
128,product_128,163
129,product_129,154
130,product_130,193
131,product_131,53
132,product_132,101
133,product_133,132
134,product_134,181
135,product_135,142
136,product_136,60
137,product_137,82
138,product_138,90
139,product_139,178
140,product_140,54
141,product_141,143
142,product_142,71
143,product_143,42
144,product_144,30
145,product_145,173
146,product_146,137
147,product_147,35
148,product_148,187
149,product_149,58
150,product_150,35
151,product_151,166
152,product_152,11
153,product_153,114
154,product_154,185
155,product_155,29
156,product_156,140
157,product_157,97
158,product_158,31
159,product_159,10
160,product_160,180
161,product_161,176
162,product_162,75
163,product_163,21
164,product_164,81
165,product_165,36
166,product_166,80
167,product_167,181
168,product_168,190
169,product_169,113
170,product_170,128
171,product_171,32
172,product_172,90
173,product_173,153
174,product_174,197
175,product_175,42
176,product_176,78
177,product_177,74
178,product_178,186
179,product_179,130
180,product_180,105
181,product_181,74
182,product_182,126
183,product_183,98
184,product_184,183
185,product_185,111
186,product_186,31
187,product_187,120
188,product_188,106
189,product_189,29
190,product_190,37
191,product_191,56
192,product_192,73
193,product_193,87
194,product_194,19
195,product_195,151
196,product_196,157
197,product_197,151
198,product_198,82
199,product_199,75
200,product_200,25
201,product_201,100
202,product_202,97
203,product_203,67
204,product_204,140
205,product_205,19
206,product_206,177
207,product_207,58
208,product_208,21
209,product_209,31
210,product_210,122
211,product_211,117
212,product_212,32
213,product_213,108
214,product_214,170
215,product_215,143
216,product_216,93
217,product_217,152
218,product_218,105
219,product_219,163
220,product_220,147
221,product_221,54
222,product_222,81
223,product_223,188
224,product_224,54
225,product_225,178
226,product_226,163
227,product_227,200
228,product_228,16
229,product_229,132
230,product_230,134
231,product_231,179
232,product_232,24
233,product_233,158
234,product_234,37
235,product_235,128
236,product_236,68
237,product_237,139
238,product_238,81
239,product_239,53
240,product_240,41
241,product_241,113
242,product_242,197
243,product_243,148
244,product_244,188
245,product_245,157
246,product_246,190
247,product_247,12
248,product_248,26
249,product_249,152
250,product_250,130
251,product_251,37
252,product_252,42
253,product_253,117
254,product_254,41
255,product_255,28
256,product_256,127
257,product_257,133
258,product_258,53
259,product_259,47
260,product_260,190
261,product_261,86
262,product_262,182
263,product_263,58
264,product_264,35
265,product_265,103
266,product_266,133
267,product_267,140
268,product_268,117
269,product_269,93
270,product_270,126
271,product_271,183
272,product_272,116
273,product_273,179
274,product_274,174
275,product_275,88
276,product_276,132
277,product_277,94
278,product_278,192
279,product_279,12
280,product_280,130
281,product_281,122
282,product_282,26
283,product_283,17
284,product_284,27
285,product_285,184
286,product_286,90
287,product_287,150
288,product_288,74
289,product_289,120
290,product_290,97
291,product_291,91
292,product_292,18
293,product_293,180
294,product_294,16
295,product_295,200
296,product_296,98
297,product_297,97
298,product_298,174
299,product_299,53
300,product_300,104
301,product_301,198
302,product_302,72
303,product_303,47
304,product_304,184
305,product_305,103
306,product_306,144
307,product_307,54
308,product_308,119
309,product_309,196
310,product_310,89
311,product_311,198
312,product_312,73
313,product_313,48
314,product_314,33
315,product_315,145
316,product_316,113
317,product_317,57
318,product_318,60
319,product_319,180
320,product_320,97
321,product_321,139
322,product_322,193
323,product_323,18
324,product_324,91
325,product_325,179
326,product_326,130
327,product_327,160
328,product_328,156
329,product_329,142
330,product_330,11
331,product_331,123
332,product_332,118
333,product_333,170
334,product_334,191
335,product_335,124
336,product_336,93
337,product_337,121
338,product_338,177
339,product_339,82
340,product_340,20
341,product_341,43
342,product_342,171
343,product_343,148
344,product_344,57
345,product_345,123
346,product_346,117
347,product_347,149
348,product_348,17
349,product_349,89
350,product_350,16
351,product_351,75
352,product_352,73
353,product_353,42
354,product_354,70
355,product_355,27
356,product_356,122
357,product_357,146
358,product_358,129
359,product_359,149
360,product_360,80
361,product_361,118
362,product_362,123
363,product_363,200
364,product_364,76
365,product_365,111
366,product_366,93
367,product_367,143
368,product_368,76
369,product_369,144
370,product_370,97
371,product_371,152
372,product_372,25
373,product_373,82
374,product_374,93
375,product_375,189
376,product_376,61
377,product_377,66
378,product_378,28
379,product_379,183
380,product_380,18
381,product_381,70
382,product_382,108
383,product_383,32
384,product_384,18
385,product_385,47
386,product_386,120
387,product_387,144
388,product_388,99
389,product_389,80
390,product_390,199
391,product_391,137
392,product_392,90
